message_id,scenario,life_stage,course_context,source_context,intent_temp,trigger,channel,template_category,message_text,cta_type,resource_id,followup_delay_hours,next_message_if_no_reply,stop_condition,notes
M080,Second year dormancy exit,college_ug_y2,cfa_l1,website_course_page,medium,three attempts with no reply,whatsapp,marketing,"{{first_name}}, pausing here. If the CFA question comes back when placements start, this number works. I will send one note when the next attempt registration opens and nothing else.",none,none,0,none,Dormant with one dated event trigger,One future trigger only. State it so it is not a surprise
M081,Final year dormancy exit,college_ug_final,unknown,college_seminar,medium,three attempts with no reply,whatsapp,marketing,"{{first_name}}, stopping here so I am not adding to the noise during placements. If you want the skills check or a call at any point, message this number.",none,none,0,none,Dormant,Placement season is the wrong time for volume. Say so
M082,Graduate comparison dormancy exit,recent_graduate,cfa_l1,organic_search,medium,three attempts with no reply,whatsapp,marketing,"{{first_name}}, closing this off. If the CFA versus MBA question comes back, the comparison sheet is still here whenever you want it.",none,R36,0,none,Dormant,Leave the door open without a further ask
M083,Job seeker dormancy exit,job_seeker,financial_modelling,meta_leadgen_ad,medium,three attempts with no reply,whatsapp,marketing,"{{first_name}}, all the best with the applications. If an interview asks for something you have not built yet, message here and we will fix that quickly.",none,none,0,none,Dormant with a 60 day reactivation eligibility,Genuinely useful exit line for this cohort
M084,Professional silent after high intent,working_prof_3_5,cfa_l1,google_search_ad,high,no reply at 48 hours with intent score above 60,whatsapp,service,"{{first_name}}, you were fairly close to deciding and then it went quiet, which usually means one of three things: the fee, the timing, or something at work. Which one is it? I will deal with whichever it is directly.",choice,none,0,none,Counsellor call task at P1 immediately,A previously hot lead going silent is a blocker not a content gap. Name the three likely blockers
M085,Fee silence counsellor trigger,working_prof_3_5,cfa_l1,inbound_call,transactional,no reply at 24 hours after a fee quote,whatsapp,service,"{{first_name}}, {{counsellor_name}} will call you at {{proposed_time}} unless you tell me otherwise. Five minutes, only to sort out whatever is pending.",confirm,none,0,none,Counsellor call task at P0,State the time. Never say someone will call soon
M086,Demo watched but silent,working_prof_0_2,cfa_l1,website_form,high,resource completion above 50 percent and no reply at 72 hours,whatsapp,service,"{{first_name}}, you watched most of it so the teaching is clearly not the issue. Is it the fee, the timing, or the attempt you are unsure about?",choice,none,0,none,Counsellor task at P1,Use the behavioural evidence you actually have
M087,CA to CFA dormancy exit,existing_candidate_ca,cfa_l1,organic_youtube,medium,three attempts with no reply,whatsapp,marketing,"{{first_name}}, pausing this. Most CA students look at CFA seriously right after their final result, so I will check in around {{result_month}} unless you get there sooner.",none,none,0,none,Dormant with a dated re entry at the result window,Anchor the re entry to a real calendar event
M088,Retaker dormancy exit,exam_failed_deferred,cfa_l1,whatsapp_inbound,medium,three attempts with no reply,whatsapp,service,"{{first_name}}, leaving it here. If you decide to go for {{next_window}}, message me and we will build the plan around the topics that actually need work.",none,none,0,none,Dormant with a dated re entry at the registration window,No sympathy language even at exit
M089,ACCA paper dormancy exit,existing_candidate_acca,acca_professional,website_course_page,high,three attempts with no reply,whatsapp,service,"{{first_name}}, closing this for now. When you fix the paper and the sitting, message here and I will send the package for exactly that.",none,none,0,none,Dormant,Short and functional for a transactional cohort
M090,YouTube viewer dormancy exit,unknown,unknown,organic_youtube,medium,three attempts with no reply,whatsapp,service,"{{first_name}}, no more messages from me. The sessions stay up on the channel, and if it becomes an exam thing rather than an interest thing, this number works.",none,none,0,none,Dormant,Respect the low intent signal
M091,Webinar attendee dormancy exit,college_ug_final,unknown,webinar_attendee,medium,three attempts with no reply,whatsapp,marketing,"{{first_name}}, stopping here. You will get an invite when the next session is on a topic worth your time, nothing else.",none,none,0,none,Dormant with event invite eligibility retained,Event invitations are the least intrusive reactivation channel
M092,Referral dormancy exit,college_ug_final,cfa_l1,student_referral,medium,three attempts with no reply,whatsapp,marketing,"{{first_name}}, leaving this. If you want to talk it through, {{referrer_name}} knows how the course runs and can tell you honestly. This number also works whenever.",none,none,0,none,Dormant,Hand the relationship back to the person the lead actually trusts
M093,Inbound caller escalation,working_prof_3_5,cfa_l1,inbound_call,high,no reply at 24 hours after the call follow up,call,none,"Counsellor call script. Open with the exact question the lead asked on the first call. Confirm the variant and attempt. Ask directly what is pending. Close on either a payment link or a dated decision.",none,none,0,none,Counsellor call task at P1,This is a call task not a message. Recorded and audited
M094,Walk in escalation,college_ug_final,ca_final_afm,walk_in,high,no reply at 24 hours,call,none,"Counsellor call script. Reference the centre visit and the specific batch discussed. Ask what changed since the visit. Offer either the seat or a dated follow up. Do not re pitch the course.",none,none,0,none,Counsellor call task at P0,Walk ins are the highest intent leads in the system
M095,Offline preference escalation,working_prof_0_2,cfa_l1,meta_leadgen_ad,medium,no reply at 120 hours,call,none,"Counsellor call script. Establish whether the classroom preference is about discipline or about doubt clearing. If discipline offer the live batch with attendance tracking. If doubts offer the doubt session structure.",none,none,0,none,Counsellor call task at P2,Mode preference is usually a proxy for a different concern
M096,Tier 3 discovery escalation,college_ug_final,unknown,organic_instagram,low,three attempts with no reply,none,none,"No further automated contact. Monthly counsellor sweep only if fit_score is at 60 or above.",none,none,0,none,Dormant,Low intent plus no reply does not justify counsellor time
M097,Unknown life stage escalation,unknown,cfa_l1,website_form,medium,three attempts with no reply,call,none,"Counsellor call script. One call to establish studying or working and target attempt. If unreachable in two attempts move to dormant.",none,none,0,none,Counsellor call task at P2,One human attempt is worth more than five automated messages here
M098,Unknown course escalation,college_ug_final,unknown,meta_leadgen_ad,low,three attempts with no reply,none,none,"Move to dormant. Retargeting audience eligible if consent permits. No further one to one messaging.",none,none,0,none,Dormant,Paid social leads with no reply belong in an audience not in a counsellor queue
M099,Payment link escalation,working_prof_3_5,cfa_l1,whatsapp_inbound,transactional,no confirmation at 2 hours,call,none,"Counsellor call script. Confirm variant and price verbally. Issue the link on the call and stay on the line until the payment page loads.",none,none,0,none,Counsellor call task at P0,Staying on the line through checkout is the single biggest recovery lever
M100,Payment failure escalation,working_prof_3_5,cfa_l1,website_form,transactional,two failures or no completion at 24 hours,call,none,"Counsellor call script. Confirm no double debit. Establish the failure reason from the gateway code. Offer UPI or bank transfer. Escalate to finance if the debit is unresolved.",none,none,0,none,Counsellor call task at P0 plus finance ticket,Money anxiety must be resolved before any sales conversation resumes
M101,Price objection escalation,working_prof_0_2,cfa_l1,website_form,medium,no reply at 96 hours,call,none,"Counsellor call script. Establish whether the constraint is total amount or cash flow timing. Offer the lower variant or the instalment split. Do not offer a discount without approval.",none,none,0,none,Counsellor call task at P2,Discount authority sits with the sales manager and must be logged
M102,Delay re entry escalation,college_ug_final,cfa_l1,webinar_attendee,medium,no reply at 72 hours after the dated re entry,call,none,"Counsellor call script. Reference the date the lead chose. Ask whether the plan changed. Close on enrolment or a final dated decision.",none,none,0,none,Counsellor call task at P2,Two dated re entries maximum then dormant
M103,Competitor escalation,working_prof_3_5,cfa_l1,google_search_ad,high,no reply at 72 hours,call,none,"Counsellor call script. Ask what specifically they are comparing on. Use the internal comparison brief. Never disparage. Offer a full class or a faculty conversation.",none,none,0,none,Counsellor call task at P1,Competitor leads are time sensitive. Call within one working day
M104,Postgraduate student evaluating a qualification alongside a masters,pg_student,cfa_l1,website_course_page,medium,course page form fill,whatsapp,marketing,"Hi {{first_name}}, since you are already doing {{current_qualification}}, the useful question is what CFA adds that your programme does not. In practice it is the depth on valuation and portfolio work plus the credential recruiters recognise globally. Want the coverage list so you can see the overlap yourself?",offer,R24,48,M105,Reply received or 3 attempts,Marginal value is the only argument that works here. Never explain what CFA is
M105,Senior finance specialist checking coverage in a niche,finance_specialist,cfa_l3,organic_linkedin,medium,enquiry from professional content,whatsapp,service,"Hi {{first_name}}, given what you already do, most of the value is likely in two or three specific areas rather than the full program. Which topics are you actually checking coverage on? If it is a narrow set, partial topics may be the better route and I will say so.",question,R28,48,M106,Reply received or 3 attempts,Never pitch the full program before checking whether partial topics fit
M106,FRM Part 1 student progressing to Part 2,existing_candidate_frm,frm_p2,existing_student_crosssell,medium,part 1 result window,whatsapp,marketing,"Hi {{first_name}}, Part 2 opens once your Part 1 result is out, and it leans much harder on application and cases than Part 1 did. Most people who leave a gap between the two lose the momentum. Want the Part 2 plan mapped to the {{next_window}} sitting?",offer,R34,72,none,Reply received or 2 attempts,Owner is student success. Mirrors the CFA progression pattern
